Null display is "<null>".
 total customers | customer with email | percent with email 
-----------------+---------------------+--------------------
             599 |                 597 |   99.6661101836394
(1 row)

 count 
-------
   599
(1 row)

  avg rental duration   
------------------------
 4 days 24:36:28.541706
(1 row)

  total   
----------
 67416.51
(1 row)

 actor_id | num_films 
----------+-----------
      107 |        42
      102 |        41
      198 |        40
      181 |        39
       23 |        37
       81 |        36
      106 |        35
      158 |        35
       60 |        35
       13 |        35
       37 |        35
      144 |        35
      105 |        34
      150 |        34
       92 |        34
       65 |        34
      108 |        34
      146 |        33
      187 |        33
      197 |        33
       26 |        33
       27 |        33
       83 |        33
      117 |        33
       94 |        33
      101 |        33
      111 |        33
      127 |        33
       90 |        33
      139 |        33
      136 |        32
      157 |        32
      161 |        32
       50 |        32
      140 |        32
       17 |        32
      119 |        32
      123 |        32
       45 |        32
       58 |        32
      149 |        31
      125 |        31
      155 |        31
      147 |        31
       28 |        31
       82 |        31
       76 |        31
      168 |        31
       85 |        31
       12 |        31
      143 |        31
       84 |        31
      104 |        31
       66 |        31
       95 |        31
      142 |        31
      129 |        30
      103 |        30
       53 |        30
       20 |        30
       44 |        30
      185 |        30
      196 |        30
      191 |        30
       14 |        30
       57 |        30
      188 |        30
      133 |        30
       64 |        30
       68 |        30
      128 |        30
        7 |        30
       36 |        29
       41 |        29
        5 |        29
       62 |        29
       40 |        29
      176 |        29
      184 |        29
      169 |        29
      192 |        29
      179 |        29
       29 |        29
       80 |        28
       74 |        28
       15 |        28
       79 |        28
      145 |        28
       39 |        28
      141 |        28
       56 |        28
      154 |        28
      115 |        28
      171 |        28
      137 |        27
      173 |        27
      175 |        27
       49 |        27
      120 |        27
       16 |        27
      195 |        27
      130 |        27
      177 |        27
       97 |        27
      113 |        27
       59 |        27
      190 |        27
       98 |        27
       21 |        27
       86 |        27
       42 |        27
      159 |        26
       73 |        26
       99 |        26
       52 |        26
       43 |        26
       72 |        26
       22 |        26
       48 |        26
      164 |        26
       78 |        26
      151 |        26
      165 |        26
      167 |        26
      124 |        26
      180 |        25
      122 |        25
       93 |        25
      114 |        25
        2 |        25
       11 |        25
      112 |        25
      131 |        25
       61 |        25
      162 |        25
      121 |        25
       19 |        25
       51 |        25
       34 |        25
       54 |        25
      172 |        25
        9 |        25
      118 |        25
       38 |        25
      116 |        24
      138 |        24
      170 |        24
      174 |        24
       75 |        24
       89 |        24
       77 |        24
       47 |        24
      189 |        24
      100 |        24
      182 |        24
       24 |        24
       46 |        24
       33 |        24
       96 |        23
      126 |        23
       32 |        23
       67 |        23
      178 |        23
       70 |        23
      152 |        23
      193 |        23
      156 |        22
      109 |        22
       18 |        22
      134 |        22
        4 |        22
        3 |        22
      132 |        22
      194 |        22
      166 |        22
       10 |        22
       25 |        21
      163 |        21
       87 |        21
       69 |        21
      110 |        21
       88 |        20
      200 |        20
        6 |        20
      153 |        20
        8 |        20
      160 |        20
       91 |        20
       55 |        20
      135 |        20
       63 |        19
       30 |        19
        1 |        19
      183 |        19
       71 |        18
       31 |        18
      186 |        16
       35 |        15
      199 |        15
      148 |        14
(200 rows)

 customer_id 
-------------
         526
         236
         148
          75
         144
(5 rows)

 year | month | staff_id | num_payments | payment_total | avg_payment_amount 
------+-------+----------+--------------+---------------+--------------------
 2007 |     1 |        1 |          617 |       2621.83 | 4.2493192868719611
 2007 |     1 |        2 |          540 |       2202.60 | 4.0788888888888889
 2007 |     2 |        1 |         1164 |       4776.36 | 4.1034020618556701
 2007 |     2 |        2 |         1148 |       4855.52 | 4.2295470383275261
 2007 |     3 |        1 |         2817 |      11776.83 | 4.1806283280085197
 2007 |     3 |        2 |         2827 |      12109.73 | 4.2835974531305271
 2007 |     4 |        1 |         3364 |      14080.36 | 4.1856004756242568
 2007 |     4 |        2 |         3390 |      14479.10 | 4.2711209439528024
 2007 |     5 |        1 |           95 |        234.09 | 2.4641052631578947
 2007 |     5 |        2 |           87 |        280.09 | 3.2194252873563218
(10 rows)

 within 3 days | greater than 3 days | not returned 
---------------+---------------------+--------------
          4388 |               11473 |          183
(1 row)

  len   | count 
--------+-------
 0-1hrs |    97
 1-2hrs |   436
 2-3hrs |   419
 3hrs+  |    48
(4 rows)

 customer_id |  avg_rental_duration   
-------------+------------------------
         315 | 6 days 14:13:22.5
         187 | 5 days 34:58:38.571428
         321 | 5 days 32:56:32.727273
         539 | 5 days 31:39:57.272727
         436 | 5 days 31:09:46
         532 | 5 days 30:59:34.838709
         427 | 5 days 29:27:05
         555 | 5 days 26:48:35.294118
         448 | 5 days 26:13:51.111111
         453 | 5 days 25:43:13.043478
         508 | 5 days 25:30:02.5
          61 | 5 days 24:23:21.428571
         222 | 5 days 24:08:57.142857
          82 | 5 days 24:08:32.307692
         181 | 5 days 24:04:18.181818
         504 | 5 days 23:34:23.571429
         295 | 5 days 23:33:00
         558 | 5 days 23:29:38.571428
          10 | 5 days 23:25:57.6
         466 | 5 days 23:25:57.391304
         437 | 5 days 22:52:20.869565
         548 | 5 days 22:42:33.333333
         542 | 5 days 22:40:46.666667
         398 | 5 days 22:38:11.25
         449 | 5 days 22:23:30
         337 | 5 days 22:10:45
         332 | 5 days 22:02:55.714286
         259 | 5 days 21:57:31.875
          88 | 5 days 21:55:11.428571
          48 | 5 days 21:43:38.82353
         522 | 5 days 21:42:43.636364
         480 | 5 days 21:25:10.909091
         464 | 5 days 21:23:00
           3 | 5 days 21:19:25.384616
         585 | 5 days 21:05:23.478261
         137 | 5 days 21:02:18.461538
         526 | 5 days 20:52:50.666667
         571 | 5 days 20:50:17.5
         212 | 5 days 20:42:21
         207 | 5 days 20:29:07.058824
         149 | 5 days 20:02:36.923077
         598 | 5 days 19:49:08.181818
         341 | 5 days 19:03:41.739131
         249 | 5 days 18:36:15.652174
         409 | 5 days 18:06:10.434782
         327 | 5 days 18:05:50.4
         422 | 5 days 17:46:31.2
         396 | 5 days 17:26:28.888889
         200 | 5 days 17:25:41.538462
         304 | 5 days 17:25:02.307693
         311 | 5 days 17:16:46.956522
         432 | 5 days 17:12:49.565217
          78 | 5 days 17:08:56.129033
         373 | 5 days 16:50:17.647059
         284 | 5 days 16:41:18.461539
         528 | 5 days 16:41:09.6
         483 | 5 days 16:28:20
         176 | 5 days 16:28:14.594594
         286 | 5 days 16:22:28.888889
         505 | 5 days 16:05:15
         343 | 5 days 15:59:45.6
         423 | 5 days 15:56:11.538461
         525 | 5 days 15:53:20
         393 | 5 days 15:52:48.387097
         479 | 5 days 15:47:58
         293 | 5 days 15:29:38.709678
         178 | 5 days 15:20:03.157895
          47 | 5 days 15:06:43.636364
         170 | 5 days 15:05:04.615384
           7 | 5 days 14:45:16.363636
         221 | 5 days 14:44:08.571429
         591 | 5 days 14:39:44.444444
         485 | 5 days 14:36:22.758621
         168 | 5 days 14:33:54.545455
         144 | 5 days 14:18:31.428571
         227 | 5 days 14:17:54.782609
          74 | 5 days 14:16:02.222222
         458 | 5 days 14:15:28.421053
         244 | 5 days 14:12:09.67742
         468 | 5 days 14:11:32.307692
          65 | 5 days 13:58:54.545455
         171 | 5 days 13:57:55.384615
         123 | 5 days 13:56:00
         291 | 4 days 37:46:26.086957
          63 | 5 days 13:36:04.8
         319 | 5 days 13:35:54
          59 | 5 days 13:31:51.111111
         559 | 5 days 13:27:49.285714
          21 | 5 days 13:27:08.823529
         180 | 5 days 13:20:43.636364
         366 | 4 days 37:19:36.666667
         392 | 5 days 13:16:07.826087
         579 | 5 days 13:15:20.769231
         489 | 5 days 13:09:17.142857
          39 | 5 days 13:07:45.517241
         150 | 5 days 12:57:02.4
          40 | 5 days 12:56:26.666667
         584 | 5 days 12:56:12
         292 | 5 days 12:55:51.111111
          19 | 5 days 12:55:42.5
          11 | 5 days 12:54:18.26087
         192 | 5 days 12:53:00
         469 | 5 days 12:38:39
           2 | 5 days 12:36:06.666667
         519 | 5 days 12:32:33.913043
         281 | 5 days 12:29:47.142857
         105 | 5 days 12:23:32.307692
         102 | 5 days 12:22:58.181818
         487 | 5 days 12:22:02.307692
         475 | 4 days 36:19:10
         109 | 4 days 36:16:39.230769
         599 | 5 days 12:14:50.526316
         289 | 4 days 36:02:04
         389 | 5 days 12:01:18.461538
         404 | 4 days 35:59:48
          69 | 4 days 35:52:45
         135 | 5 days 11:51:14.482758
         520 | 4 days 35:37:03.75
           6 | 5 days 11:36:32.142857
          52 | 4 days 35:35:55.714286
         472 | 5 days 11:29:37.241379
         405 | 5 days 11:24:15.483871
          89 | 4 days 35:23:15
          56 | 5 days 11:16:35.172414
          50 | 4 days 35:16:12
         541 | 4 days 35:08:02.5
         523 | 4 days 35:00:49.090909
         205 | 4 days 34:52:50
         540 | 4 days 34:45:12.5
         399 | 4 days 34:41:28.571428
         255 | 5 days 10:41:26.666667
         172 | 4 days 34:37:43.636364
         211 | 4 days 34:33:18.181819
         294 | 5 days 10:32:46.153846
         529 | 4 days 34:30:35.172413
         270 | 4 days 34:28:16.8
         242 | 5 days 10:24:37.5
          22 | 5 days 10:15:14.285714
         478 | 4 days 34:10:56.842105
         219 | 5 days 10:08:48
         421 | 5 days 10:03:36.923077
         513 | 4 days 33:58:54.193549
          80 | 5 days 09:52:35.172413
         237 | 5 days 09:51:56.363636
         577 | 4 days 33:44:24.444444
         253 | 4 days 33:41:18.62069
         560 | 5 days 09:35:57.857143
         209 | 4 days 33:31:20.625
         189 | 5 days 09:25:10.909091
         388 | 4 days 33:05:55.862069
         190 | 4 days 33:01:27.692307
         203 | 5 days 08:54:51
         234 | 4 days 32:54:07.2
         457 | 4 days 32:51:27.692308
