Null display is "<null>".
      full_name       | len 
----------------------+-----
 MICHELLE MCCONAUGHEY |  20
 JOHNNY LOLLOBRIGIDA  |  19
 ANGELA WITHERSPOON   |  18
 MATTHEW JOHANSSON    |  17
 CAMERON ZELLWEGER    |  17
 JAYNE SILVERSTONE    |  17
 CHRISTOPHER BERRY    |  17
 FRANCES DAY-LEWIS    |  17
 ANGELINA ASTAIRE     |  16
 OLYMPIA PFEIFFER     |  16
 LAURENCE BULLOCK     |  16
 PENELOPE PINKETT     |  16
 CHRISTOPHER WEST     |  16
 CHRISTIAN AKROYD     |  16
 MORGAN MCDORMAND     |  16
 HUMPHREY GARLAND     |  16
 CARY MCCONAUGHEY     |  16
 ALBERT JOHANSSON     |  16
 PENELOPE GUINESS     |  16
 JEFF SILVERSTONE     |  16
 MINNIE ZELLWEGER     |  16
 GROUCHO WILLIAMS     |  16
 CHRISTIAN NEESON     |  16
 NATALIE HOPKINS      |  15
 MORGAN WILLIAMS      |  15
 BETTE NICHOLSON      |  15
 VIVIEN BASINGER      |  15
 JULIA BARRYMORE      |  15
 CHRISTIAN GABLE      |  15
 GEOFFREY HESTON      |  15
 PENELOPE CRONYN      |  15
 GREGORY GOODING      |  15
 HUMPHREY WILLIS      |  15
 PARKER GOLDBERG      |  15
 JODIE DEGENERES      |  15
 KIRSTEN PALTROW      |  15
 PENELOPE MONROE      |  15
 WILLIAM HACKMAN      |  15
 KENNETH HOFFMAN      |  15
 SCARLETT BENING      |  15
 JULIA ZELLWEGER      |  15
 KENNETH PALTROW      |  15
 GROUCHO SINATRA      |  15
 KIRSTEN AKROYD       |  14
 DARYL WAHLBERG       |  14
 JULIANNE DENCH       |  14
 MICHAEL BOLGER       |  14
 WARREN JACKMAN       |  14
 GINA DEGENERES       |  14
 SYLVESTER DERN       |  14
 RUSSELL BACALL       |  14
 MORGAN HOPKINS       |  14
 CAMERON STREEP       |  14
 MATTHEW CARREY       |  14
 SISSY SOBIESKI       |  14
 AUDREY OLIVIER       |  14
 MICHAEL BENING       |  14
 NICK DEGENERES       |  14
 JESSICA BAILEY       |  14
 RUSSELL TEMPLE       |  14
 SCARLETT DAMON       |  14
 DARYL CRAWFORD       |  14
 JENNIFER DAVIS       |  14
 CHARLIZE DENCH       |  14
 ANGELA HUDSON        |  13
 MINNIE KILMER        |  13
 CHRIS BRIDGES        |  13
 JULIA FAWCETT        |  13
 NICK WAHLBERG        |  13
 GENE MCKELLEN        |  13
 KENNETH PESCI        |  13
 SEAN WILLIAMS        |  13
 DEBBIE AKROYD        |  13
 VIVIEN BERGEN        |  13
 WOODY HOFFMAN        |  13
 JULIA MCQUEEN        |  13
 RUSSELL CLOSE        |  13
 SANDRA KILMER        |  13
 GROUCHO DUNST        |  13
 RITA REYNOLDS        |  13
 ELLEN PRESLEY        |  13
 HARRISON BALE        |  13
 KEVIN GARLAND        |  13
 FRANCES TOMEI        |  13
 LUCILLE TRACY        |  13
 MATTHEW LEIGH        |  13
 DUSTIN TAUTOU        |  13
 NICK STALLONE        |  13
 KIRK JOVOVICH        |  13
 ALAN DREYFUSS        |  13
 AUDREY BAILEY        |  13
 RAY JOHANSSON        |  13
 THORA TEMPLE         |  12
 GRACE MOSTEL         |  12
 CUBA OLIVIER         |  12
 FRED COSTNER         |  12
 HELEN VOIGHT         |  12
 RIP CRAWFORD         |  12
 BURT DUKAKIS         |  12
 TOM MCKELLEN         |  12
 GOLDIE BRODY         |  12
 REESE KILMER         |  12
 GARY PHOENIX         |  12
 JAYNE NEESON         |  12
 CAMERON WRAY         |  12
 MILLA KEITEL         |  12
 GREG CHAPLIN         |  12
 SPENCER PECK         |  12
 SEAN GUINESS         |  12
 KENNETH TORN         |  12
 SPENCER DEPP         |  12
 SIDNEY CROWE         |  12
 WARREN NOLTE         |  12
 LIZA BERGMAN         |  12
 ALBERT NOLTE         |  12
 CATE MCQUEEN         |  12
 GRETA KEITEL         |  12
 JANE JACKMAN         |  12
 RICHARD PENN         |  12
 GENE HOPKINS         |  12
 ED MANSFIELD         |  12
 EWAN GOODING         |  12
 MERYL GIBSON         |  12
 GRETA MALDEN         |  12
 OPRAH KILMER         |  12
 ROCK DUKAKIS         |  12
 JUDE CRUISE          |  11
 LUCILLE DEE          |  11
 BELA WALKEN          |  11
 WHOOPI HURT          |  11
 MENA TEMPLE          |  11
 WILL WILSON          |  11
 CARMEN HUNT          |  11
 MENA HOPPER          |  11
 ANNE CRONYN          |  11
 TOM MIRANDA          |  11
 JOHNNY CAGE          |  11
 CATE HARRIS          |  11
 SANDRA PECK          |  11
 TIM HACKMAN          |  11
 GENE WILLIS          |  11
 LISA MONROE          |  11
 JOHN SUVARI          |  11
 ADAM HOPPER          |  11
 SUSAN DAVIS          |  11
 RENEE TRACY          |  11
 FAY WINSLET          |  11
 WALTER TORN          |  11
 BURT TEMPLE          |  11
 JAYNE NOLTE          |  11
 RIP WINSLET          |  11
 MERYL ALLEN          |  11
 WOODY JOLIE          |  11
 SALMA NOLTE          |  11
 SUSAN DAVIS          |  11
 BOB FAWCETT          |  11
 MARY KEITEL          |  11
 HENRY BERRY          |  11
 LAURA BRODY          |  11
 MAE HOFFMAN          |  11
 HARVEY HOPE          |  11
 KEVIN BLOOM          |  11
 JAMES PITT           |  10
 KARL BERRY           |  10
 RALPH CRUZ           |  10
 JADA RYDER           |  10
 RIVER DEAN           |  10
 BURT POSEY           |  10
 ADAM GRANT           |  10
 BEN HARRIS           |  10
 MARY TANDY           |  10
 REESE WEST           |  10
 CHRIS DEPP           |  10
 DAN HARRIS           |  10
 AL GARLAND           |  10
 FAY KILMER           |  10
 VAL BOLGER           |  10
 MILLA PECK           |  10
 ED GUINESS           |  10
 ALEC WAYNE           |  10
 ELVIS MARX           |  10
 RENEE BALL           |  10
 DAN STREEP           |  10
 CUBA ALLEN           |  10
 JIM MOSTEL           |  10
 CUBA BIRCH           |  10
 BEN WILLIS           |  10
 IAN TANDY            |   9
 EMILY DEE            |   9
 ZERO CAGE            |   9
 GARY PENN            |   9
 MEG HAWKE            |   9
 JON CHASE            |   9
 JUDY DEAN            |   9
 KIM ALLEN            |   9
 JOE SWANK            |   9
 UMA WOOD             |   8
 FAY WOOD             |   8
 DAN TORN             |   8
 ED CHASE             |   8
(200 rows)

 customer_id 
-------------
         363
          59
(2 rows)

                length_desc                 
--------------------------------------------
 ACADEMY DINOSAUR is 86 minutes
 ACE GOLDFINGER is 48 minutes
 ADAPTATION HOLES is 50 minutes
 AFFAIR PREJUDICE is 117 minutes
 AFRICAN EGG is 130 minutes
 AGENT TRUMAN is 169 minutes
 AIRPLANE SIERRA is 62 minutes
 AIRPORT POLLOCK is 54 minutes
 ALABAMA DEVIL is 114 minutes
 ALADDIN CALENDAR is 63 minutes
 ALAMO VIDEOTAPE is 126 minutes
 ALASKA PHANTOM is 136 minutes
 DATE SPEED is 104 minutes
 ALI FOREVER is 150 minutes
 ALICE FANTASIA is 94 minutes
 ALIEN CENTER is 46 minutes
 ALLEY EVOLUTION is 180 minutes
 ALONE TRIP is 82 minutes
 ALTER VICTORY is 57 minutes
 AMADEUS HOLY is 113 minutes
 AMELIE HELLFIGHTERS is 79 minutes
 AMERICAN CIRCUS is 129 minutes
 AMISTAD MIDSUMMER is 85 minutes
 ANACONDA CONFESSIONS is 92 minutes
 ANALYZE HOOSIERS is 181 minutes
 ANGELS LIFE is 74 minutes
 ANNIE IDENTITY is 86 minutes
 ANONYMOUS HUMAN is 179 minutes
 ANTHEM LUKE is 91 minutes
 ANTITRUST TOMATOES is 168 minutes
 ANYTHING SAVANNAH is 82 minutes
 APACHE DIVINE is 92 minutes
 APOCALYPSE FLAMINGOS is 0 minutes
 APOLLO TEEN is 153 minutes
 ARABIA DOGMA is 62 minutes
 ARACHNOPHOBIA ROLLERCOASTER is 147 minutes
 ARGONAUTS TOWN is 127 minutes
 ARIZONA BANG is 121 minutes
 ARK RIDGEMONT is 68 minutes
 ARMAGEDDON LOST is 99 minutes
 ARMY FLINTSTONES is 148 minutes
 ARSENIC INDEPENDENCE is 137 minutes
 ARTIST COLDBLOODED is 170 minutes
 ATLANTIS CAUSE is 170 minutes
 ATTACKS HATE is 113 minutes
 ATTRACTION NEWTON is 83 minutes
 AUTUMN CROW is 108 minutes
 BABY HALL is 153 minutes
 BACKLASH UNDEFEATED is 118 minutes
 BADMAN DAWN is 162 minutes
 BAKED CLEOPATRA is 182 minutes
 BALLOON HOMEWARD is 75 minutes
 BALLROOM MOCKINGBIRD is 173 minutes
 BANG KWAI is 87 minutes
 BANGER PINOCCHIO is 113 minutes
 BARBARELLA STREETCAR is 65 minutes
 BAREFOOT MANCHURIAN is 129 minutes
 BASIC EASY is 90 minutes
 BEACH HEARTBREAKERS is 122 minutes
 BEAR GRACELAND is 160 minutes
 BEAST HUNCHBACK is unknown length
