Null display is "<null>".
 first_name |  last_name  
------------+-------------
 TOMMY      | COLLAZO
 MANUEL     | MURRELL
 ANDREW     | PURDY
 DELORES    | HANSEN
 NELSON     | CHRISTENSON
 CASSANDRA  | WALTERS
 MINNIE     | ROMERO
 CHARLOTTE  | HUNTER
(8 rows)

 film_id |      title       
---------+------------------
     257 | DRUMLINE CYCLONE
     323 | FLIGHT LIES
     803 | SLACKER LIAISONS
(3 rows)

 film_id |      title       
---------+------------------
     803 | SLACKER LIAISONS
     323 | FLIGHT LIES
     257 | DRUMLINE CYCLONE
(3 rows)

 customer_id | first_name | last_name 
-------------+------------+-----------
         257 | MARSHA     | DOUGLAS
         142 | APRIL      | BURNS
         564 | BOB        | PFEIFFER
          89 | JULIA      | FLORES
(4 rows)

      country       
--------------------
 Brazil
 China
 India
 Japan
 Mexico
 Philippines
 Russian Federation
 United States
(8 rows)

 customer_id | first_name  |  last_name   | favorite_store 
-------------+-------------+--------------+----------------
           1 | MARY        | SMITH        |              1
           2 | PATRICIA    | JOHNSON      |              1
           3 | LINDA       | WILLIAMS     |              1
           4 | BARBARA     | JONES        |              2
           5 | ELIZABETH   | BROWN        |              2
           6 | JENNIFER    | DAVIS        |              1
           7 | MARIA       | MILLER       |              1
           8 | SUSAN       | WILSON       |              2
           9 | MARGARET    | MOORE        |              2
          10 | DOROTHY     | TAYLOR       |              1
          11 | LISA        | ANDERSON     |              2
          12 | NANCY       | THOMAS       |              2
          13 | KAREN       | JACKSON      |              2
          14 | BETTY       | WHITE        |              1
          15 | HELEN       | HARRIS       |              2
          16 | SANDRA      | MARTIN       |              1
          17 | DONNA       | THOMPSON     |              2
          18 | CAROL       | GARCIA       |              1
          19 | RUTH        | MARTINEZ     |              2
          20 | SHARON      | ROBINSON     |              1
          21 | MICHELLE    | CLARK        |              1
          22 | LAURA       | RODRIGUEZ    |              2
          23 | SARAH       | LEWIS        |              1
          24 | KIMBERLY    | LEE          |              2
          25 | DEBORAH     | WALKER       |              2
          26 | JESSICA     | HALL         |              2
          27 | SHIRLEY     | ALLEN        |              2
          28 | CYNTHIA     | YOUNG        |              1
          29 | ANGELA      | HERNANDEZ    |              2
